,user_id,item_id,rating
0,271,480,4.0
1,249,456,3.0
2,833,381,4.0
3,579,582,4.0
4,790,63,2.0
5,269,483,4.0
6,567,173,4.0
7,327,87,3.0
8,424,100,5.0
9,605,462,5.0
10,457,509,4.0
11,363,172,5.0
12,92,11,4.0
13,880,177,5.0
14,130,300,5.0
15,488,197,2.0
16,401,632,4.0
17,582,50,5.0
18,370,31,3.0
19,151,402,3.0
20,403,100,5.0
21,343,324,5.0
22,13,508,3.0
23,567,124,4.0
24,16,134,4.0
25,463,221,5.0
26,790,959,3.0
27,908,648,4.0
28,579,331,3.0
29,548,525,5.0
30,943,581,4.0
31,284,300,3.0
32,301,357,5.0
33,141,323,4.0
34,502,270,2.0
35,496,721,5.0
36,64,969,3.0
37,463,275,5.0
38,405,69,4.0
39,796,54,4.0
40,23,204,3.0
41,45,476,3.0
42,76,513,5.0
43,178,873,3.0
44,457,94,3.0
45,853,270,4.0
46,385,231,2.0
47,642,15,5.0
48,795,1555,3.0
49,43,956,1.0
50,901,447,3.0
51,896,310,4.0
52,805,331,4.0
53,286,47,4.0
54,899,428,4.0
55,508,181,3.0
56,311,231,4.0
57,232,194,4.0
58,358,512,5.0
59,365,316,4.0
60,919,31,3.0
61,627,1478,3.0
62,170,328,3.0
63,533,172,4.0
64,77,127,2.0
65,470,276,5.0
66,270,222,5.0
67,545,450,2.0
68,509,309,2.0
69,406,515,2.0
70,297,326,2.0
71,514,116,4.0
72,457,241,3.0
73,49,588,4.0
74,158,530,4.0
75,671,5,2.0
76,836,89,4.0
77,49,53,4.0
78,497,118,4.0
79,314,1291,1.0
80,551,455,1.0
81,553,1126,4.0
82,354,65,4.0
83,450,381,2.0
84,657,690,4.0
85,864,465,3.0
86,916,290,3.0
87,29,302,4.0
88,18,116,5.0
89,416,924,5.0
90,92,53,3.0
91,630,126,4.0
92,603,12,5.0
93,478,28,3.0
94,500,1163,1.0
95,67,117,5.0
96,880,121,2.0
97,339,217,3.0
98,240,269,5.0
99,671,222,1.0
100,870,474,4.0
101,830,95,3.0
102,592,890,1.0
103,380,1045,3.0
104,233,498,5.0
105,601,195,3.0
106,749,328,4.0
107,761,288,4.0
108,597,294,4.0
109,749,160,3.0
110,796,218,3.0
111,441,751,4.0
112,506,380,4.0
113,280,380,2.0
114,786,95,5.0
115,256,1033,4.0
116,870,1112,2.0
117,325,771,1.0
118,417,91,2.0
119,747,192,5.0
120,183,144,3.0
121,654,756,4.0
122,725,245,4.0
123,940,216,4.0
124,450,23,5.0
125,95,496,4.0
126,295,450,4.0
127,406,727,3.0
128,246,174,3.0
129,330,763,5.0
130,95,275,3.0
131,533,284,1.0
132,664,321,3.0
133,437,15,4.0
134,667,79,3.0
135,125,216,3.0
136,497,655,4.0
137,54,741,5.0
138,757,250,4.0
139,57,181,5.0
140,881,294,3.0
141,373,1188,3.0
142,292,589,4.0
143,825,413,3.0
144,939,274,5.0
145,290,1079,2.0
146,577,663,5.0
147,579,1446,2.0
148,313,423,4.0
149,505,358,3.0
150,303,264,3.0
151,1,39,4.0
152,336,716,2.0
153,397,529,4.0
154,230,99,3.0
155,44,636,4.0
156,451,306,2.0
157,933,561,3.0
158,94,94,2.0
159,792,831,2.0
160,195,1089,4.0
161,712,568,5.0
162,864,373,2.0
163,474,385,4.0
164,885,69,4.0
165,299,1226,2.0
166,270,443,3.0
167,489,750,5.0
168,303,450,3.0
169,608,288,5.0
170,907,1028,5.0
171,270,553,1.0
172,568,509,4.0
173,919,243,3.0
174,86,328,2.0
175,615,529,5.0
